class,feature_name,raw_feature_name,feature_type,mean_abs_shap
ham,specially selected,tfidf__specially selected,tfidf,0.0013483182031952144
ham,class,tfidf__class,tfidf,0.001344384280175096
ham,hmv,tfidf__hmv,tfidf,0.001328667104096736
ham,bus,tfidf__bus,tfidf,0.00132630748848538
ham,fast,tfidf__fast,tfidf,0.0013224836814007851
ham,terms,tfidf__terms,tfidf,0.001317782270496555
ham,yr,tfidf__yr,tfidf,0.0013071316748638176
ham,visit,tfidf__visit,tfidf,0.0013058166545330643
ham,paris,tfidf__paris,tfidf,0.0013039498789555056
ham,call09050000327,tfidf__call09050000327,tfidf,0.001294392425122041
ham,claim call09050000327,tfidf__claim call09050000327,tfidf,0.001294392425122041
ham,starts saturday,tfidf__starts saturday,tfidf,0.0012920029038174898
ham,opt 88088,tfidf__opt 88088,tfidf,0.0012879012842691771
ham,sky opt,tfidf__sky opt,tfidf,0.0012879012842691771
ham,offers,tfidf__offers,tfidf,0.001285023108033301
ham,nights,tfidf__nights,tfidf,0.0012806368006162679
ham,player,tfidf__player,tfidf,0.0012765600725279387
ham,football,tfidf__football,tfidf,0.0012679995258065852
ham,understand,tfidf__understand,tfidf,0.0012607388443876767
ham,finally,tfidf__finally,tfidf,0.0012548715683334487
ham,user,tfidf__user,tfidf,0.0012476915754224265
ham,vodafone,tfidf__vodafone,tfidf,0.001246747620636142
ham,19,tfidf__19,tfidf,0.0012411188201687485
ham,po,tfidf__po,tfidf,0.001231847408262409
ham,didn't,tfidf__didn't,tfidf,0.0012263922859542997
ham,cs apply,tfidf__cs apply,tfidf,0.001225998981252548
ham,important customer,tfidf__important customer,tfidf,0.0012221269125879117
ham,good morning,tfidf__good morning,tfidf,0.0012206914255349585
ham,gbp,tfidf__gbp,tfidf,0.0012056588321545081
ham,minutes,tfidf__minutes,tfidf,0.0012014309834743682
ham,dating service,tfidf__dating service,tfidf,0.0012000607875109555
ham,little,tfidf__little,tfidf,0.0011929349709498263
ham,txt ur,tfidf__txt ur,tfidf,0.001188647934459643
ham,txts,tfidf__txts,tfidf,0.0011882540824056354
ham,arrogate,tfidf__arrogate,tfidf,0.001183651652799266
ham,year,tfidf__year,tfidf,0.0011826641261591972
ham,shop 85023,tfidf__shop 85023,tfidf,0.001182279409595468
ham,text shop,tfidf__text shop,tfidf,0.001182279409595468
ham,late,tfidf__late,tfidf,0.0011769268521267654
ham,pounds,tfidf__pounds,tfidf,0.0011738334529962102
ham,straight phone,tfidf__straight phone,tfidf,0.0011732233784580324
ham,getting,tfidf__getting,tfidf,0.0011724730075272525
ham,shop,tfidf__shop,tfidf,0.0011684774208786239
ham,83355,tfidf__83355,tfidf,0.0011650122556104536
ham,ipod mp3,tfidf__ipod mp3,tfidf,0.0011650122556104536
ham,latest nokia,tfidf__latest nokia,tfidf,0.0011650122556104536
ham,mtmsgrcvd18,tfidf__mtmsgrcvd18,tfidf,0.0011650122556104536
ham,enjoy,tfidf__enjoy,tfidf,0.001164359576265011
ham,asked,tfidf__asked,tfidf,0.001145791468788935
ham,free entry,tfidf__free entry,tfidf,0.001145165061419422
ham,ipod,tfidf__ipod,tfidf,0.0011445466742137566
ham,txt word,tfidf__txt word,tfidf,0.0011441445901185525
ham,urgent,tfidf__urgent,tfidf,0.0011360127529427026
ham,cha,tfidf__cha,tfidf,0.0011351180452501665
ham,08704439680ts,tfidf__08704439680ts,tfidf,0.00113180846635814
ham,08704439680ts cs,tfidf__08704439680ts cs,tfidf,0.00113180846635814
ham,79,tfidf__79,tfidf,0.00113180846635814
ham,79 book,tfidf__79 book,tfidf,0.00113180846635814
ham,book year,tfidf__book year,tfidf,0.00113180846635814
ham,flights 79,tfidf__flights 79,tfidf,0.00113180846635814
ham,nights flights,tfidf__nights flights,tfidf,0.00113180846635814
ham,paris nights,tfidf__paris nights,tfidf,0.00113180846635814
ham,romantic paris,tfidf__romantic paris,tfidf,0.00113180846635814
ham,year 08704439680ts,tfidf__year 08704439680ts,tfidf,0.00113180846635814
ham,trip,tfidf__trip,tfidf,0.001127347092756047
ham,mp3 player,tfidf__mp3 player,tfidf,0.001125577221181702
ham,friends,tfidf__friends,tfidf,0.0011240949681620947
ham,wil,tfidf__wil,tfidf,0.0011126194898318903
ham,records,tfidf__records,tfidf,0.0011094480708260222
ham,0871277810910p,tfidf__0871277810910p,tfidf,0.0011071034656165613
ham,0871277810910p min,tfidf__0871277810910p min,tfidf,0.0011071034656165613
ham,1000 holiday,tfidf__1000 holiday,tfidf,0.0011071034656165613
ham,claim 0871277810910p,tfidf__claim 0871277810910p,tfidf,0.0011071034656165613
ham,saturday,tfidf__saturday,tfidf,0.0011056005469966394
ham,romantic,tfidf__romantic,tfidf,0.0011004971027900802
ham,fantastic,tfidf__fantastic,tfidf,0.0011003135685350666
ham,just text,tfidf__just text,tfidf,0.0010982800477369352
ham,touch,tfidf__touch,tfidf,0.0010964998477412278
ham,live town,tfidf__live town,tfidf,0.0010950828363861804
ham,hours,tfidf__hours,tfidf,0.0010896347308815436
ham,8007,tfidf__8007,tfidf,0.0010886363770871718
ham,grant,tfidf__grant,tfidf,0.0010862404328118868
